D18S51 Vietnamese AfricanAmerican Caucasian Hispanic Navajo
10 0.233 0.500 1.333 0.952 0.000
11 0.465 0.750 0.333 1.429 0.270
12 4.186 6.000 13.000 13.333 9.459
13 11.860 4.750 14.667 12.381 32.162
13.2 0.000 0.500 0.000 0.000 0.000
14 18.605 6.250 18.000 13.571 13.784
14.2 0.000 1.000 0.000 0.000 0.000
15 26.744 19.000 15.667 18.571 7.838
16 14.651 17.250 11.000 15.000 18.378
17 10.698 15.250 13.333 9.762 11.622
18 3.256 9.500 7.333 5.476 1.892
19 3.256 9.500 2.667 4.286 2.432
20 2.093 4.250 2.000 3.095 0.811
21 1.395 3.500 0.667 0.952 1.081
22 1.628 1.750 0.000 0.952 0.000
23 0.931 0.250 0.000 0.238 0.270
